#primaryIdentifier	secondaryIdentifier	type	chromosome	start	end
BARCSOYSSR_01_0099		potential_SSR	Gm01	1732832	1732851
BARCSOYSSR_01_0100		potential_SSR	Gm01	1761799	1761822
BARCSOYSSR_01_0101		potential_SSR	Gm01	1770393	1770418
BARCSOYSSR_01_0102		potential_SSR	Gm01	1771604	1771649
BARCSOYSSR_01_0103		potential_SSR	Gm01	1802465	1802486
BARCSOYSSR_01_0104		potential_SSR	Gm01	1806387	1806408
BARCSOYSSR_01_0105		potential_SSR	Gm01	1810830	1810851
BARCSOYSSR_01_0106		potential_SSR	Gm01	1817642	1817667
BARCSOYSSR_01_0107		potential_SSR	Gm01	1842793	1842818
BARCSOYSSR_01_0108		potential_SSR	Gm01	1848992	1849023
BARCSOYSSR_01_0109		potential_SSR	Gm01	1892641	1892670
BARCSOYSSR_01_0110		potential_SSR	Gm01	1894430	1894449
BARCSOYSSR_01_0111		potential_SSR	Gm01	1908531	1908609
BARCSOYSSR_01_0112		potential_SSR	Gm01	1923974	1924011
BARCSOYSSR_01_0113		potential_SSR	Gm01	1954103	1954156
BARCSOYSSR_01_0114		potential_SSR	Gm01	1975696	1975715
BARCSOYSSR_01_0115		potential_SSR	Gm01	1984253	1984310
BARCSOYSSR_01_0116		potential_SSR	Gm01	1988646	1988679
BARCSOYSSR_01_0117		potential_SSR	Gm01	1999122	1999155
BARCSOYSSR_01_0118		potential_SSR	Gm01	2053360	2053423
BARCSOYSSR_01_0119		potential_SSR	Gm01	2060614	2060633
BARCSOYSSR_01_0120		potential_SSR	Gm01	2070233	2070286
BARCSOYSSR_01_0121		potential_SSR	Gm01	2073540	2073601
BARCSOYSSR_01_0123		potential_SSR	Gm01	2090748	2090773
BARCSOYSSR_01_0124		potential_SSR	Gm01	2093518	2093581
BARCSOYSSR_01_0125		potential_SSR	Gm01	2116238	2116281
BARCSOYSSR_01_0126		potential_SSR	Gm01	2116852	2116871
BARCSOYSSR_01_0127		potential_SSR	Gm01	2128418	2128453
BARCSOYSSR_01_0128		potential_SSR	Gm01	2130802	2130843
BARCSOYSSR_01_0129		potential_SSR	Gm01	2135216	2135239
BARCSOYSSR_01_0130		potential_SSR	Gm01	2144562	2144609
BARCSOYSSR_01_0131		potential_SSR	Gm01	2145212	2145239
BARCSOYSSR_01_0132		potential_SSR	Gm01	2146589	2146626
BARCSOYSSR_01_0133		potential_SSR	Gm01	2159194	2159233
BARCSOYSSR_01_0134		potential_SSR	Gm01	2171257	2171282
BARCSOYSSR_01_0135		potential_SSR	Gm01	2177334	2177367
BARCSOYSSR_01_0136		potential_SSR	Gm01	2205086	2205109
BARCSOYSSR_01_0137		potential_SSR	Gm01	2208573	2208612
BARCSOYSSR_01_0138		potential_SSR	Gm01	2221545	2221572
BARCSOYSSR_01_0139		potential_SSR	Gm01	2232470	2232529
BARCSOYSSR_01_0140		potential_SSR	Gm01	2250506	2250532
BARCSOYSSR_01_0141		potential_SSR	Gm01	2263608	2263677
BARCSOYSSR_01_0142		potential_SSR	Gm01	2319237	2319268
BARCSOYSSR_01_0143		potential_SSR	Gm01	2357240	2357259
BARCSOYSSR_01_0144		potential_SSR	Gm01	2373825	2373848
BARCSOYSSR_01_0145		potential_SSR	Gm01	2382827	2382882
BARCSOYSSR_01_0146		potential_SSR	Gm01	2459406	2459435
BARCSOYSSR_01_0147		potential_SSR	Gm01	2508083	2508150
BARCSOYSSR_01_0148		potential_SSR	Gm01	2534626	2534681
BARCSOYSSR_01_0149		potential_SSR	Gm01	2540068	2540103
BARCSOYSSR_01_0150		potential_SSR	Gm01	2566550	2566569
BARCSOYSSR_01_0151		potential_SSR	Gm01	2568031	2568098
BARCSOYSSR_01_0152		potential_SSR	Gm01	2569679	2569702
BARCSOYSSR_01_0153		potential_SSR	Gm01	2570669	2570712
BARCSOYSSR_01_0154		potential_SSR	Gm01	2595464	2595514
BARCSOYSSR_01_0155		potential_SSR	Gm01	2632709	2632728
BARCSOYSSR_01_0156		potential_SSR	Gm01	2644262	2644297
BARCSOYSSR_01_0157		potential_SSR	Gm01	2644979	2645024
BARCSOYSSR_01_0158		potential_SSR	Gm01	2646128	2646147
BARCSOYSSR_01_0159		potential_SSR	Gm01	2662433	2662452
BARCSOYSSR_01_0160		potential_SSR	Gm01	2673579	2673648
BARCSOYSSR_01_0161		potential_SSR	Gm01	2682072	2682101
BARCSOYSSR_01_0162		potential_SSR	Gm01	2715573	2715594
BARCSOYSSR_01_0163		potential_SSR	Gm01	2779854	2779879
BARCSOYSSR_01_0164		potential_SSR	Gm01	2781312	2781343
BARCSOYSSR_01_0165		potential_SSR	Gm01	2782829	2782850
BARCSOYSSR_01_0166		potential_SSR	Gm01	2798207	2798256
BARCSOYSSR_01_0167		potential_SSR	Gm01	2800545	2800564
BARCSOYSSR_01_0168		potential_SSR	Gm01	2891668	2891689
BARCSOYSSR_01_0169		potential_SSR	Gm01	2893851	2893890
BARCSOYSSR_01_0170		potential_SSR	Gm01	3032169	3032198
BARCSOYSSR_01_0171		potential_SSR	Gm01	3043625	3043684
BARCSOYSSR_01_0172		potential_SSR	Gm01	3066639	3066662
BARCSOYSSR_01_0173		potential_SSR	Gm01	3103771	3103800
BARCSOYSSR_01_0174		potential_SSR	Gm01	3199741	3199772
BARCSOYSSR_01_0175		potential_SSR	Gm01	3215002	3215069
BARCSOYSSR_01_0176		potential_SSR	Gm01	3226278	3226301
BARCSOYSSR_01_0177		potential_SSR	Gm01	3227592	3227627
BARCSOYSSR_01_0178		potential_SSR	Gm01	3253592	3253651
BARCSOYSSR_01_0179		potential_SSR	Gm01	3285756	3285783
BARCSOYSSR_01_0180		potential_SSR	Gm01	3291389	3291444
BARCSOYSSR_01_0181		potential_SSR	Gm01	3315198	3315227
BARCSOYSSR_01_0182		potential_SSR	Gm01	3323007	3323051
BARCSOYSSR_01_0183		potential_SSR	Gm01	3354238	3354257
BARCSOYSSR_01_0184		potential_SSR	Gm01	3360250	3360275
BARCSOYSSR_01_0186		potential_SSR	Gm01	3367998	3368031
BARCSOYSSR_01_0187		potential_SSR	Gm01	3390548	3390597
BARCSOYSSR_01_0188		potential_SSR	Gm01	3434727	3434752
BARCSOYSSR_01_0189		potential_SSR	Gm01	3510465	3510488
BARCSOYSSR_01_0190		potential_SSR	Gm01	3515338	3515363
BARCSOYSSR_01_0191		potential_SSR	Gm01	3526929	3526967
BARCSOYSSR_01_0192		potential_SSR	Gm01	3542850	3542897
BARCSOYSSR_01_0193		potential_SSR	Gm01	3556426	3556491
BARCSOYSSR_01_0194		potential_SSR	Gm01	3559461	3559494
BARCSOYSSR_01_0195		potential_SSR	Gm01	3574641	3574708
BARCSOYSSR_01_0196		potential_SSR	Gm01	3582349	3582406
BARCSOYSSR_01_0197		potential_SSR	Gm01	3607597	3607626
BARCSOYSSR_01_0198		potential_SSR	Gm01	3645278	3645309
BARCSOYSSR_01_0199		potential_SSR	Gm01	3673062	3673119
BARCSOYSSR_01_0200		potential_SSR	Gm01	3673536	3673559
BARCSOYSSR_01_0201		potential_SSR	Gm01	3678550	3678615
BARCSOYSSR_01_0202		potential_SSR	Gm01	3710633	3710672
BARCSOYSSR_01_0203		potential_SSR	Gm01	3732889	3732942
BARCSOYSSR_01_0204		potential_SSR	Gm01	3735407	3735470
BARCSOYSSR_01_0205		potential_SSR	Gm01	3776086	3776123
BARCSOYSSR_01_0206		SSR	Gm01	3779170	3779211
BARCSOYSSR_01_0207		potential_SSR	Gm01	3779970	3780005
BARCSOYSSR_01_0208		potential_SSR	Gm01	3787480	3787499
BARCSOYSSR_01_0209		potential_SSR	Gm01	3812063	3812102
BARCSOYSSR_01_0210		potential_SSR	Gm01	3818373	3818422
BARCSOYSSR_01_0211		potential_SSR	Gm01	3825588	3825619
BARCSOYSSR_01_0212		potential_SSR	Gm01	3831632	3831655
BARCSOYSSR_01_0213		potential_SSR	Gm01	3832007	3832060
BARCSOYSSR_01_0214		potential_SSR	Gm01	3855211	3855254
BARCSOYSSR_01_0215		potential_SSR	Gm01	3897181	3897210
BARCSOYSSR_01_0216		potential_SSR	Gm01	3899078	3899131
BARCSOYSSR_01_0217		potential_SSR	Gm01	3933782	3933803
BARCSOYSSR_01_0218		potential_SSR	Gm01	3955162	3955209
BARCSOYSSR_01_0219		potential_SSR	Gm01	3957043	3957082
BARCSOYSSR_01_0220		potential_SSR	Gm01	3968760	3968779
BARCSOYSSR_01_0221		potential_SSR	Gm01	3979356	3979377
BARCSOYSSR_01_0222		potential_SSR	Gm01	3988058	3988081
BARCSOYSSR_01_0223		potential_SSR	Gm01	3995625	3995644
BARCSOYSSR_01_0224		potential_SSR	Gm01	4014303	4014338
BARCSOYSSR_01_0225		potential_SSR	Gm01	4043958	4043991
BARCSOYSSR_01_0226		potential_SSR	Gm01	4044631	4044662
BARCSOYSSR_01_0227		potential_SSR	Gm01	4107879	4107900
BARCSOYSSR_01_0228		potential_SSR	Gm01	4126584	4126643
BARCSOYSSR_01_0229		potential_SSR	Gm01	4135241	4135300
BARCSOYSSR_01_0230		potential_SSR	Gm01	4178674	4178709
BARCSOYSSR_01_0231		potential_SSR	Gm01	4179773	4179802
BARCSOYSSR_01_0232		potential_SSR	Gm01	4184761	4184787
BARCSOYSSR_01_0233		potential_SSR	Gm01	4212182	4212201
BARCSOYSSR_01_0234		potential_SSR	Gm01	4242782	4242813
BARCSOYSSR_01_0235		potential_SSR	Gm01	4247966	4247995
BARCSOYSSR_01_0236		potential_SSR	Gm01	4284833	4284907
BARCSOYSSR_01_0237		potential_SSR	Gm01	4402500	4402523
BARCSOYSSR_01_0238		potential_SSR	Gm01	4419815	4419838
BARCSOYSSR_01_0239		potential_SSR	Gm01	4432178	4432204
BARCSOYSSR_01_0240		potential_SSR	Gm01	4445934	4445953
BARCSOYSSR_01_0241		potential_SSR	Gm01	4457210	4457253
BARCSOYSSR_01_0242		potential_SSR	Gm01	4525530	4525593
BARCSOYSSR_01_0243		potential_SSR	Gm01	4544042	4544107
BARCSOYSSR_01_0244		potential_SSR	Gm01	4553267	4553300
BARCSOYSSR_01_0245		potential_SSR	Gm01	4553463	4553486
BARCSOYSSR_01_0246		potential_SSR	Gm01	4569136	4569165
BARCSOYSSR_01_0247		potential_SSR	Gm01	4580343	4580398
BARCSOYSSR_01_0248		potential_SSR	Gm01	4589846	4589897
BARCSOYSSR_01_0249		potential_SSR	Gm01	4611088	4611107
BARCSOYSSR_01_0250		potential_SSR	Gm01	4632479	4632498
BARCSOYSSR_01_0251		potential_SSR	Gm01	4645105	4645126
BARCSOYSSR_01_0252		potential_SSR	Gm01	4650093	4650130
BARCSOYSSR_01_0253		potential_SSR	Gm01	4717608	4717631
BARCSOYSSR_01_0254		potential_SSR	Gm01	4751983	4752010
BARCSOYSSR_01_0255		potential_SSR	Gm01	4757558	4757581
BARCSOYSSR_01_0256		potential_SSR	Gm01	4771262	4771285
BARCSOYSSR_01_0257		potential_SSR	Gm01	4784917	4784996
BARCSOYSSR_01_0258		potential_SSR	Gm01	4789643	4789669
BARCSOYSSR_01_0259		potential_SSR	Gm01	4792365	4792394
BARCSOYSSR_01_0260		potential_SSR	Gm01	4813594	4813655
BARCSOYSSR_01_0261		potential_SSR	Gm01	4842045	4842066
BARCSOYSSR_01_0262		potential_SSR	Gm01	4867080	4867145
BARCSOYSSR_01_0263		potential_SSR	Gm01	4871185	4871204
BARCSOYSSR_01_0264		potential_SSR	Gm01	4877061	4877082
BARCSOYSSR_01_0265		potential_SSR	Gm01	4885946	4886009
BARCSOYSSR_01_0266		potential_SSR	Gm01	4887365	4887418
BARCSOYSSR_01_0267		potential_SSR	Gm01	4898488	4898517
BARCSOYSSR_01_0268		potential_SSR	Gm01	4898846	4898872
BARCSOYSSR_01_0269		potential_SSR	Gm01	4901238	4901271
BARCSOYSSR_01_0270		potential_SSR	Gm01	4903003	4903046
BARCSOYSSR_01_0271		potential_SSR	Gm01	4907695	4907748
BARCSOYSSR_01_0272		potential_SSR	Gm01	4908908	4908969
BARCSOYSSR_01_0273		potential_SSR	Gm01	4919667	4919704
BARCSOYSSR_01_0274		potential_SSR	Gm01	4926609	4926634
BARCSOYSSR_01_0275		potential_SSR	Gm01	4935152	4935187
BARCSOYSSR_01_0276		potential_SSR	Gm01	4953816	4953841
BARCSOYSSR_01_0277		potential_SSR	Gm01	4984701	4984722
BARCSOYSSR_01_0278		potential_SSR	Gm01	5020679	5020702
BARCSOYSSR_01_0279		potential_SSR	Gm01	5038402	5038421
BARCSOYSSR_01_0280		potential_SSR	Gm01	5040660	5040737
BARCSOYSSR_01_0281		potential_SSR	Gm01	5041195	5041214
BARCSOYSSR_01_0282		potential_SSR	Gm01	5086731	5086768
BARCSOYSSR_01_0283		potential_SSR	Gm01	5099981	5100084
BARCSOYSSR_01_0284		potential_SSR	Gm01	5114933	5114986
BARCSOYSSR_01_0285		potential_SSR	Gm01	5163570	5163593
BARCSOYSSR_01_0286		potential_SSR	Gm01	5227399	5227454
BARCSOYSSR_01_0287		potential_SSR	Gm01	5234355	5234394
BARCSOYSSR_01_0288		potential_SSR	Gm01	5238557	5238595
BARCSOYSSR_01_0289		potential_SSR	Gm01	5286842	5286881
BARCSOYSSR_01_0290		potential_SSR	Gm01	5313552	5313614
BARCSOYSSR_01_0291		potential_SSR	Gm01	5314574	5314605
BARCSOYSSR_01_0292		potential_SSR	Gm01	5318572	5318597
BARCSOYSSR_01_0293		potential_SSR	Gm01	5390659	5390682
BARCSOYSSR_01_0294		potential_SSR	Gm01	5391390	5391427
BARCSOYSSR_01_0295		potential_SSR	Gm01	5403687	5403736
BARCSOYSSR_01_0296		potential_SSR	Gm01	5404732	5404787
BARCSOYSSR_01_0297		potential_SSR	Gm01	5405061	5405120
BARCSOYSSR_01_0298		potential_SSR	Gm01	5405446	5405497
BARCSOYSSR_01_0299		potential_SSR	Gm01	5434887	5434940
BARCSOYSSR_01_0300		potential_SSR	Gm01	5444515	5444558
BARCSOYSSR_01_0301		potential_SSR	Gm01	5448289	5448308
BARCSOYSSR_01_0302		potential_SSR	Gm01	5451737	5451782
BARCSOYSSR_01_0303		potential_SSR	Gm01	5500278	5500313
BARCSOYSSR_01_0304		potential_SSR	Gm01	5521654	5521695
BARCSOYSSR_01_0305		potential_SSR	Gm01	5526800	5526851
BARCSOYSSR_01_0306		potential_SSR	Gm01	5527124	5527179
BARCSOYSSR_01_0307		potential_SSR	Gm01	5531658	5531709
BARCSOYSSR_01_0308		potential_SSR	Gm01	5532624	5532661
BARCSOYSSR_01_0309		potential_SSR	Gm01	5542263	5542328
BARCSOYSSR_01_0310		potential_SSR	Gm01	5549076	5549097
BARCSOYSSR_01_0311		potential_SSR	Gm01	5590748	5590783
BARCSOYSSR_01_0312		potential_SSR	Gm01	5591301	5591346
BARCSOYSSR_01_0313		potential_SSR	Gm01	5593403	5593454
BARCSOYSSR_01_0314		potential_SSR	Gm01	5625723	5625754
BARCSOYSSR_01_0315		potential_SSR	Gm01	5724857	5724890
BARCSOYSSR_01_0316		potential_SSR	Gm01	5731641	5731668
BARCSOYSSR_01_0317		potential_SSR	Gm01	5765846	5765891
BARCSOYSSR_01_0318		potential_SSR	Gm01	5854872	5854901
BARCSOYSSR_01_0319		potential_SSR	Gm01	5865695	5865758
BARCSOYSSR_01_0320		potential_SSR	Gm01	5868965	5869016
BARCSOYSSR_01_0321		potential_SSR	Gm01	5912388	5912427
BARCSOYSSR_01_0322		potential_SSR	Gm01	5968517	5968544
BARCSOYSSR_01_0323		potential_SSR	Gm01	5971497	5971536
BARCSOYSSR_01_0324		potential_SSR	Gm01	5985909	5985965
BARCSOYSSR_01_0325		potential_SSR	Gm01	5998256	5998281
BARCSOYSSR_01_0326		potential_SSR	Gm01	6019825	6019924
BARCSOYSSR_01_0327		potential_SSR	Gm01	6030228	6030279
BARCSOYSSR_01_0328		potential_SSR	Gm01	6034117	6034146
BARCSOYSSR_01_0329		potential_SSR	Gm01	6037450	6037511
BARCSOYSSR_01_0330		potential_SSR	Gm01	6073718	6073773
BARCSOYSSR_01_0331		potential_SSR	Gm01	6091596	6091631
BARCSOYSSR_01_0332		potential_SSR	Gm01	6113682	6113707
BARCSOYSSR_01_0333		potential_SSR	Gm01	6132899	6132954
BARCSOYSSR_01_0334		potential_SSR	Gm01	6165044	6165067
BARCSOYSSR_01_0335		potential_SSR	Gm01	6295811	6295870
BARCSOYSSR_01_0336		potential_SSR	Gm01	6314100	6314123
BARCSOYSSR_01_0337		potential_SSR	Gm01	6370655	6370686
BARCSOYSSR_01_0338		potential_SSR	Gm01	6428425	6428444
BARCSOYSSR_01_0339		potential_SSR	Gm01	6437255	6437278
BARCSOYSSR_01_0340		potential_SSR	Gm01	6439069	6439130
BARCSOYSSR_01_0341		potential_SSR	Gm01	6443525	6443554
BARCSOYSSR_01_0343		potential_SSR	Gm01	6613565	6613608
BARCSOYSSR_01_0344		potential_SSR	Gm01	6626533	6626552
BARCSOYSSR_01_0345		potential_SSR	Gm01	6627320	6627353
BARCSOYSSR_01_0346		potential_SSR	Gm01	6682955	6682996
BARCSOYSSR_01_0347		potential_SSR	Gm01	6702979	6703058
BARCSOYSSR_01_0348		potential_SSR	Gm01	6718121	6718142
BARCSOYSSR_01_0349		potential_SSR	Gm01	6744337	6744362
BARCSOYSSR_01_0350		potential_SSR	Gm01	6748877	6748942
BARCSOYSSR_01_0351		potential_SSR	Gm01	6749616	6749653
BARCSOYSSR_01_0352		potential_SSR	Gm01	6818489	6818526
BARCSOYSSR_01_0353		potential_SSR	Gm01	6829938	6830003
BARCSOYSSR_01_0355		potential_SSR	Gm01	6849724	6849747
BARCSOYSSR_01_0356		potential_SSR	Gm01	6852490	6852511
BARCSOYSSR_01_0357		potential_SSR	Gm01	6854421	6854459
BARCSOYSSR_01_0358		potential_SSR	Gm01	6857997	6858038
BARCSOYSSR_01_0359		potential_SSR	Gm01	6873520	6873543
BARCSOYSSR_01_0360		potential_SSR	Gm01	6922345	6922372
BARCSOYSSR_01_0361		potential_SSR	Gm01	6922944	6922973
BARCSOYSSR_01_0362		SSR	Gm01	6926642	6926719
BARCSOYSSR_01_0363		potential_SSR	Gm01	6978299	6978322
BARCSOYSSR_01_0364		potential_SSR	Gm01	7005679	7005702
BARCSOYSSR_01_0365		potential_SSR	Gm01	7006374	7006400
BARCSOYSSR_01_0366		potential_SSR	Gm01	7042124	7042165
BARCSOYSSR_01_0367		potential_SSR	Gm01	7048873	7048892
BARCSOYSSR_01_0368		potential_SSR	Gm01	7055756	7055783
BARCSOYSSR_01_0369		potential_SSR	Gm01	7084371	7084402
BARCSOYSSR_01_0370		potential_SSR	Gm01	7091570	7091595
BARCSOYSSR_01_0371		potential_SSR	Gm01	7116353	7116406
BARCSOYSSR_01_0372		potential_SSR	Gm01	7155297	7155328
BARCSOYSSR_01_0373		potential_SSR	Gm01	7184418	7184487
BARCSOYSSR_01_0374		potential_SSR	Gm01	7228908	7228929
BARCSOYSSR_01_0375		potential_SSR	Gm01	7254303	7254358
BARCSOYSSR_01_0376		potential_SSR	Gm01	7286545	7286566
BARCSOYSSR_01_0377		potential_SSR	Gm01	7299808	7299873
BARCSOYSSR_01_0378		potential_SSR	Gm01	7310920	7310951
BARCSOYSSR_01_0379		potential_SSR	Gm01	7324398	7324471
BARCSOYSSR_01_0380		potential_SSR	Gm01	7356827	7356848
BARCSOYSSR_01_0381		potential_SSR	Gm01	7357238	7357267
BARCSOYSSR_01_0382		potential_SSR	Gm01	7357829	7357856
BARCSOYSSR_01_0383		potential_SSR	Gm01	7375254	7375310
BARCSOYSSR_01_0384		potential_SSR	Gm01	7388240	7388259
BARCSOYSSR_01_0385		potential_SSR	Gm01	7445235	7445258
BARCSOYSSR_01_0386		potential_SSR	Gm01	7456689	7456710
BARCSOYSSR_01_0387		potential_SSR	Gm01	7477947	7477990
BARCSOYSSR_01_0388		potential_SSR	Gm01	7488509	7488536
BARCSOYSSR_01_0389		potential_SSR	Gm01	7510566	7510587
BARCSOYSSR_01_0390		potential_SSR	Gm01	7615154	7615181
BARCSOYSSR_01_0391		SSR	Gm01	7694498	7694542
BARCSOYSSR_01_0392		potential_SSR	Gm01	7698501	7698556
BARCSOYSSR_01_0393		potential_SSR	Gm01	7722283	7722312
BARCSOYSSR_01_0394		SSR	Gm01	7729342	7729385
BARCSOYSSR_01_0395		potential_SSR	Gm01	7804523	7804588
BARCSOYSSR_01_0396		potential_SSR	Gm01	7847757	7847786
BARCSOYSSR_01_0397		potential_SSR	Gm01	7869821	7869862
BARCSOYSSR_01_0398		potential_SSR	Gm01	8025356	8025375
BARCSOYSSR_01_0399		potential_SSR	Gm01	8050679	8050736
BARCSOYSSR_01_0400		potential_SSR	Gm01	8069825	8069876
BARCSOYSSR_01_0401		potential_SSR	Gm01	8080615	8080677
