#QTLName	Parent_1	Parent_2	TraitName	Journal	Year	Volume	Page	Title
Al tolerance 3-6	KF No. 1	NN1138-2	Aluminum Tolerance					A study on relative importance of additive, epistasis and unmapped QTL for Aluminum tolerance at seedling stage in soybean
Al tolerance 3-7	KF No. 1	NN1138-2	Aluminum Tolerance					A study on relative importance of additive, epistasis and unmapped QTL for Aluminum tolerance at seedling stage in soybean
Al tolerance 3-8	KF No. 1	NN1138-2	Aluminum Tolerance					A study on relative importance of additive, epistasis and unmapped QTL for Aluminum tolerance at seedling stage in soybean
Al tolerance 3-9	KF No. 1	NN1138-2	Aluminum Tolerance					A study on relative importance of additive, epistasis and unmapped QTL for Aluminum tolerance at seedling stage in soybean
Asian Soybean Rust 1-1	PI 561356	LD02-4485	Reaction to Phakopsora pachyrhizi infection					Molecular mapping of soybean rust resistance in soybean accession PI 561356 and SNP haplotype analysis o the Rpp1 region in diverse germplasm
Asian Soybean Rust 2-1	PI 595645	PI 416937	Reaction to Phakopsora pachyrhizi infection	Crop Science				Soybean Quantitative Trait Loci conditioning Soybean Rust-Induced Canopy Damage
Asian Soybean Rust 2-2	PI 595645	PI 416937	Reaction to Phakopsora pachyrhizi infection	Crop Science				Soybean Quantitative Trait Loci conditioning Soybean Rust-Induced Canopy Damage
Asian Soybean Rust 2-3	PI 595645	PI 416937	Reaction to Phakopsora pachyrhizi infection	Crop Science				Soybean Quantitative Trait Loci conditioning Soybean Rust-Induced Canopy Damage
Asian Soybean Rust 2-4	PI 595645	PI 416937	Reaction to Phakopsora pachyrhizi infection	Crop Science				Soybean Quantitative Trait Loci conditioning Soybean Rust-Induced Canopy Damage
Bean pyralid 1-1	Kefeng No. 1	NN1138-2	Reaction to Lamprosema indicata					Genetic components and major QTL confer resistance to bean pyralid (Lamprosema indicata Fabricius) under multiple environments in four RIL populations of soybean
Bean pyralid 1-2	Kefeng No. 1	NN1138-2	Reaction to Lamprosema indicata					Genetic components and major QTL confer resistance to bean pyralid (Lamprosema indicata Fabricius) under multiple environments in four RIL populations of soybean
Bean pyralid 1-3	Kefeng No. 1	NN1138-2	Reaction to Lamprosema indicata					Genetic components and major QTL confer resistance to bean pyralid (Lamprosema indicata Fabricius) under multiple environments in four RIL populations of soybean
Bean pyralid 1-4	Kefeng No. 1	NN1138-2	Reaction to Lamprosema indicata					Genetic components and major QTL confer resistance to bean pyralid (Lamprosema indicata Fabricius) under multiple environments in four RIL populations of soybean
Bean pyralid 1-5	Kefeng No. 1	NN1138-2	Reaction to Lamprosema indicata					Genetic components and major QTL confer resistance to bean pyralid (Lamprosema indicata Fabricius) under multiple environments in four RIL populations of soybean
Bean pyralid 1-6	Wan 82-178	TSBPHDJ	Reaction to Lamprosema indicata					Genetic components and major QTL confer resistance to bean pyralid (Lamprosema indicata Fabricius) under multiple environments in four RIL populations of soybean
Bean pyralid 1-7	Wan 82-178	TSBPHDJ	Reaction to Lamprosema indicata					Genetic components and major QTL confer resistance to bean pyralid (Lamprosema indicata Fabricius) under multiple environments in four RIL populations of soybean
Bean pyralid 1-8	Wan 82-178	TSBPHDJ	Reaction to Lamprosema indicata					Genetic components and major QTL confer resistance to bean pyralid (Lamprosema indicata Fabricius) under multiple environments in four RIL populations of soybean
Branching 1-1	Charleston	Dongnong 594	Branching		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Branching 1-2	Charleston	Dongnong 594	Branching		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Branching 1-3	Charleston	Dongnong 594	Branching		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Branching 1-4	Charleston	Dongnong 594	Branching		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Branching 1-5	Charleston	Dongnong 594	Branching		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Branching 1-6	Charleston	Dongnong 594	Branching		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Branching 1-7	Charleston	Dongnong 594	Branching		2007	6	399-405	QTL Analysis of Major Agronomic Traits in Soybean
Branching 2-1	PI171451	Hwaeomputkong	Branching					QTL Mapping for Major Agronomic Traits across Two Years in Soybean (Glycine max L. Merr.)
Branching 3-1	Tokei 758	To-8E	Branching					Mapping and comparison of quantitative trait loci for soybean branching phenotype in two locations
Branching 3-2	Tokei 758	To-8E	Branching					Mapping and comparison of quantitative trait loci for soybean branching phenotype in two locations
Branching 3-3	Tokei 758	To-8E	Branching					Mapping and comparison of quantitative trait loci for soybean branching phenotype in two locations
Branching 3-4	Tokei 758	To-8E	Branching					Mapping and comparison of quantitative trait loci for soybean branching phenotype in two locations
Branching 3-5	Tokei 758	To-8E	Branching					Mapping and comparison of quantitative trait loci for soybean branching phenotype in two locations
Branching 4-1	Jiyu 50	Jinong 18	Branching	Genetics and Molecular Research				Analysis of quantitative trait loci for main plant traits in soybean
Branching 4-2	Jiyu 50	Jinong 18	Branching	Genetics and Molecular Research				Analysis of quantitative trait loci for main plant traits in soybean
Branching 4-3	Jiyu 50	Jinong 18	Branching	Genetics and Molecular Research				Analysis of quantitative trait loci for main plant traits in soybean
Branching 4-4	Jiyu 50	Jinong 18	Branching	Genetics and Molecular Research				Analysis of quantitative trait loci for main plant traits in soybean
BSR 1-1	BSR101	PI437654	Reaction to Phialophora gregata infection	Molecular Breeding	1999	5	33-42	Detection of linked QTL for soybean brown stem rot resistance in 'BSR 101' as expressed in a growth chamber environment.
BSR 1-2	BSR101	PI437654	Reaction to Phialophora gregata infection	Molecular Breeding	1999	5	33-42	Detection of linked QTL for soybean brown stem rot resistance in 'BSR 101' as expressed in a growth chamber environment.
BSR 2-1	BSR101	PI437654	Reaction to Phialophora gregata infection	Crop Science	2000	40	1445-1452	Molecular markers useful for detecting resistance to brown stem rot in soybean
BSR 3-1	L78-4094	Century84	Reaction to Phialophora gregata infection	Crop Science	2001	41	527-535	Molecular Markers Linked to Brown Stem Rot Resistance Genes, Rbs1 and Rbs2, in Soybean
BSR 4-1	PI437833	Century	Reaction to Phialophora gregata infection	Crop Science	2001	41	527-535	Molecular Markers Linked to Brown Stem Rot Resistance Genes, Rbs1 and Rbs2, in Soybean
BSR 5-1	Bell	Colfax	Reaction to Phialophora gregata infection	Crop Science	2005	45	1241-1248	Localization of a Quantitative Trait Locus Providing Brown Stem Rot Resistance in the Soybean Cultivar Bell
BSR 5-2	Bell	Colfax	Reaction to Phialophora gregata infection	Crop Science	2005	45	1241-1248	Localization of a Quantitative Trait Locus Providing Brown Stem Rot Resistance in the Soybean Cultivar Bell
BSR 6-1	PI 567296B	Century 84	Reaction to Phialophora gregata infection	Crop Science	2005	45	1092-1095	Characterization of Resistance to Brown Stem Rot of Soybean in Five Accessions from Central China
BSR 6-10	PI 567296B	Century 84	Reaction to Phialophora gregata infection	Crop Science	2005	45	1092-1095	Characterization of Resistance to Brown Stem Rot of Soybean in Five Accessions from Central China
BSR 6-2	PI 567296B	Century 84	Reaction to Phialophora gregata infection	Crop Science	2005	45	1092-1095	Characterization of Resistance to Brown Stem Rot of Soybean in Five Accessions from Central China
BSR 6-3	PI 567296B	Century 84	Reaction to Phialophora gregata infection	Crop Science	2005	45	1092-1095	Characterization of Resistance to Brown Stem Rot of Soybean in Five Accessions from Central China
BSR 6-4	PI 567296B	Century 84	Reaction to Phialophora gregata infection	Crop Science	2005	45	1092-1095	Characterization of Resistance to Brown Stem Rot of Soybean in Five Accessions from Central China
BSR 6-5	PI 567296B	Century 84	Reaction to Phialophora gregata infection	Crop Science	2005	45	1092-1095	Characterization of Resistance to Brown Stem Rot of Soybean in Five Accessions from Central China
BSR 6-6	PI 567296B	Century 84	Reaction to Phialophora gregata infection	Crop Science	2005	45	1092-1095	Characterization of Resistance to Brown Stem Rot of Soybean in Five Accessions from Central China
BSR 6-7	PI 567296B	Century 84	Reaction to Phialophora gregata infection	Crop Science	2005	45	1092-1095	Characterization of Resistance to Brown Stem Rot of Soybean in Five Accessions from Central China
BSR 6-8	PI 567296B	Century 84	Reaction to Phialophora gregata infection	Crop Science	2005	45	1092-1095	Characterization of Resistance to Brown Stem Rot of Soybean in Five Accessions from Central China
BSR 6-9	PI 567296B	Century 84	Reaction to Phialophora gregata infection	Crop Science	2005	45	1092-1095	Characterization of Resistance to Brown Stem Rot of Soybean in Five Accessions from Central China
Canopy height 1-1	A81356022	A81356022	Canopy Height	Genetics	1990	126	735-742	RFLP mapping in soybean: association between marker loci and variation in quantative traits.
Canopy height 1-2	A81356022	A81356022	Canopy Height	Genetics	1990	126	735-742	RFLP mapping in soybean: association between marker loci and variation in quantative traits.
Canopy height 2-1	PI27890	PI27890	Canopy Height	Theor. Appl. Genet.	1993	86	907-913	Interval mapping of quantitative trait loci for reproductive, morphological, and seed traits of soybean (Glycine max L.).
Canopy width 1-1	S100	Tokyo	Canopy Width	Theoretical and Applied Genetics	1998	97	1210-1216	QTLs conditioning early growth in a soybean population segregating for growth habit.
Canopy width 1-2	S100	Tokyo	Canopy Width	Theoretical and Applied Genetics	1998	97	1210-1216	QTLs conditioning early growth in a soybean population segregating for growth habit.
Canopy width 1-3	S100	Tokyo	Canopy Width	Theoretical and Applied Genetics	1998	97	1210-1216	QTLs conditioning early growth in a soybean population segregating for growth habit.
Canopy wilt 1-1	KS4895	Jackson	Canopy wilt					Polygenic inheritance of canopy wilting in soybean
Canopy wilt 1-2	KS4895	Jackson	Canopy wilt					Polygenic inheritance of canopy wilting in soybean
Canopy wilt 1-3	KS4895	Jackson	Canopy wilt					Polygenic inheritance of canopy wilting in soybean
Canopy wilt 1-4	KS4895	Jackson	Canopy wilt					Polygenic inheritance of canopy wilting in soybean
Canopy wilt 2-1	Benning	PI416937	Canopy wilt					Mapping of quantitative trait loci for canopy-wilting trait in soybean (Glycine max L. Merr)
Canopy wilt 2-2	Benning	PI416937	Canopy wilt					Mapping of quantitative trait loci for canopy-wilting trait in soybean (Glycine max L. Merr)
Canopy wilt 2-3	Benning	PI416937	Canopy wilt					Mapping of quantitative trait loci for canopy-wilting trait in soybean (Glycine max L. Merr)
Canopy wilt 2-4	Benning	PI416937	Canopy wilt					Mapping of quantitative trait loci for canopy-wilting trait in soybean (Glycine max L. Merr)
Canopy wilt 2-5	Benning	PI416937	Canopy wilt					Mapping of quantitative trait loci for canopy-wilting trait in soybean (Glycine max L. Merr)
Canopy wilt 2-6	Benning	PI416937	Canopy wilt					Mapping of quantitative trait loci for canopy-wilting trait in soybean (Glycine max L. Merr)
Canopy wilt 2-7	Benning	PI416937	Canopy wilt					Mapping of quantitative trait loci for canopy-wilting trait in soybean (Glycine max L. Merr)
Canopy wilt 3-1	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-10	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-11	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-12	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-13	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-2	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-3	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-4	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-5	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-6	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-7	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-8	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 3-9	93705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 4-1	08705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 4-2	08705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 4-3	08705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 4-4	08705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 4-5	08705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 4-6	08705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 4-7	08705 KS4895	Jackson	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 5-1	KS4895	PI 424140	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 5-2	KS4895	PI 424140	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 5-3	KS4895	PI 424140	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 5-4	KS4895	PI 424140	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 6-1	Benning	PI 416937	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 6-2	Benning	PI 416937	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 6-3	Benning	PI 416937	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Canopy wilt 6-4	Benning	PI 416937	Canopy wilt	Theoretical and Applied Genetics				Confirmation of delayed canopy wilting QTLs from multiple soybean mapping populations
Carbon isotope discrimination 1-1	Minsoy	Noir 1	Carbon Isotope Discrimination	Crop Science	2001	41	493-509	Soybean Response to Water:A QTL Analysis of Drought Tolerance
Carbon isotope discrimination 1-2	Minsoy	Noir 1	Carbon Isotope Discrimination	Crop Science	2001	41	493-509	Soybean Response to Water:A QTL Analysis of Drought Tolerance
Carbon isotope discrimination 1-3	Minsoy	Noir 1	Carbon Isotope Discrimination	Crop Science	2001	41	493-509	Soybean Response to Water:A QTL Analysis of Drought Tolerance
Carbon isotope discrimination 1-4	Minsoy	Noir 1	Carbon Isotope Discrimination	Crop Science	2001	41	493-509	Soybean Response to Water:A QTL Analysis of Drought Tolerance
Carbon isotope discrimination 1-5	Minsoy	Noir 1	Carbon Isotope Discrimination	Crop Science	2001	41	493-509	Soybean Response to Water:A QTL Analysis of Drought Tolerance
Cellwall polysacch composition 1-1	Minsoy	Archer	Cell wall polysaccharide composition	Crop Science	2004	44	2101-2106	Quantitative Trait Loci Associated with Cell Wall Polysaccharides in Soybean Seed
Chlorimuron sensitivity 1-1	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-10	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-11	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-2	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-3	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-4	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-5	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-6	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-7	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-8	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 1-9	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 2-1	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 2-2	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorimuron sensitivity 2-3	PI97100	Coker237	Chlorimuron Ethyl Sensitivity	Journal of Heredity	1997	88	38-41	RFLP analysis of chlorimuron ethyl sensitivity in soybean
Chlorophyll flourescence ABS/RC 1-1	Kefeng No.1	Nannong1138-2	Light energy absorbed per reaction center (ABS/RC)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence ABS/RC 1-2	Kefeng No.1	Nannong1138-2	Light energy absorbed per reaction center (ABS/RC)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence ETo/TRo 1-1	Kefeng No.1	Nannong1138-2	Probability a trapped excitation moves an electron beyond Qa- (ETo/TRo)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence ETo/TRo 1-2	Kefeng No.1	Nannong1138-2	Probability a trapped excitation moves an electron beyond Qa- (ETo/TRo)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence ETo/TRo 1-3	Kefeng No.1	Nannong1138-2	Probability a trapped excitation moves an electron beyond Qa- (ETo/TRo)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence PIabs 1-1	Kefeng No.1	Nannong1138-2	Performance index on absorption basis (PIabs)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence PIabs 1-2	Kefeng No.1	Nannong1138-2	Performance index on absorption basis (PIabs)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence PIabs 1-3	Kefeng No.1	Nannong1138-2	Performance index on absorption basis (PIabs)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence REo/Eto 1-1	Kefeng No.1	Nannong1138-2	Probability an electron reduces an end acceptor at PSI electron acceptor side	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence REo/Eto 1-2	Kefeng No.1	Nannong1138-2	Probability an electron reduces an end acceptor at PSI electron acceptor side	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence TRo/ABS 1-1	Kefeng No.1	Nannong1138-2	Flux ratio of trapping per absorption (TRo/ABS)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence TRo/ABS 1-2	Kefeng No.1	Nannong1138-2	Flux ratio of trapping per absorption (TRo/ABS)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorophyll flourescence TRo/ABS 1-3	Kefeng No.1	Nannong1138-2	Flux ratio of trapping per absorption (TRo/ABS)	Planta				Mapping quantitative trait loci associated with chlorophyll a fluorescence parameters in soybean (Glycine max (L.) Merr.)
Chlorosis, leaflet Mn induced 1-1	Essex	Forrest	Manganese induced leaflet necrosis	Plant and Soil	2004	260	197-204	Loci underlying resistance to manganese toxicity mapped in a soybean recombinant inbred line population of 'Essex' x 'Forrest'
Chlorosis, leaflet Mn induced 1-2	Essex	Forrest	Manganese induced leaflet necrosis	Plant and Soil	2004	260	197-204	Loci underlying resistance to manganese toxicity mapped in a soybean recombinant inbred line population of 'Essex' x 'Forrest'
Chlorosis, leaflet UV-B induced 1-1	Keunolkong	Iksan 10	UV-B induced leaflet chlorosis	Euphytica				Detection of quantitative trait loci controlling UV-B resistance in soybean
Chlorosis, leaflet UV-B induced 1-2	Keunolkong	Iksan 10	UV-B induced leaflet chlorosis	Euphytica				Detection of quantitative trait loci controlling UV-B resistance in soybean
Chlorosis, leaflet UV-B induced 1-3	Keunolkong	Iksan 10	UV-B induced leaflet chlorosis	Euphytica				Detection of quantitative trait loci controlling UV-B resistance in soybean
Chlorosis, leaflet UV-B induced 1-4	Keunolkong	Iksan 10	UV-B induced leaflet chlorosis	Euphytica				Detection of quantitative trait loci controlling UV-B resistance in soybean
Chlorosis, leaflet UV-B induced 1-5	Keunolkong	Iksan 10	UV-B induced leaflet chlorosis	Euphytica				Detection of quantitative trait loci controlling UV-B resistance in soybean
Chlorosis, leaflet UV-B induced 1-6	Keunolkong	Iksan 10	UV-B induced leaflet chlorosis	Euphytica				Detection of quantitative trait loci controlling UV-B resistance in soybean
Chlorosis, leaflet UV-B induced 1-7	Keunolkong	Iksan 10	UV-B induced leaflet chlorosis	Euphytica				Detection of quantitative trait loci controlling UV-B resistance in soybean
Chlorosis, leaflet UV-B induced 2-1	Keunol	Iksan 10	UV-B induced leaflet chlorosis	Molecular Breeding				Positional mapping and identification of novel quantitative trait locus responsible for UV-B radiation tolerance in soybean [Glycine maxÊ(L.) Merr.]
Common cutworm 1-1	Fukuyutaka	Himeshrazu	Reaction to Spodoptera litura	Crop Science	2005	45	2044-2048	QTL Mapping of Antibiosis Resistance to Common Cutworm (Spodoptera litura Fabricius) in Soybean
Common cutworm 1-2	Fukuyutaka	Himeshrazu	Reaction to Spodoptera litura	Crop Science	2005	45	2044-2048	QTL Mapping of Antibiosis Resistance to Common Cutworm (Spodoptera litura Fabricius) in Soybean
Common cutworm 2-1	Fukuyutaka	Himeshirazu	Reaction to Spodoptera litura	Breeding Science	NULL	NULL	NULL	Genetic analysis of antixenosis resistance to the common cutworm (Spodoptera litura Fabricius) and its relationship with pubescence characteristics in soybean (Glycine max (L.) Merr.)
Corn earworm 1-1	Cobb	PI229358	Reaction to Helicoverpa zea	Theoretical and Applied Genetics	1998	98	786-790	Identification of molecular markers linked to quantitative trait loci for soybean resistance to corn earworm
Corn earworm 1-2	Cobb	PI229358	Reaction to Helicoverpa zea	Theoretical and Applied Genetics	1998	98	786-790	Identification of molecular markers linked to quantitative trait loci for soybean resistance to corn earworm
Corn earworm 1-3	Cobb	PI229358	Reaction to Helicoverpa zea	Theoretical and Applied Genetics	1998	98	786-790	Identification of molecular markers linked to quantitative trait loci for soybean resistance to corn earworm
Corn earworm 2-1	Cobb	PI171451	Reaction to Helicoverpa zea	Crop Science	1999	39	531-538	Quantitative trait loci for antixenosis resistance to corn earworm in soybean
Corn earworm 2-2	Cobb	PI171451	Reaction to Helicoverpa zea	Crop Science	1999	39	531-538	Quantitative trait loci for antixenosis resistance to corn earworm in soybean
Corn earworm 2-3	Cobb	PI171451	Reaction to Helicoverpa zea	Crop Science	1999	39	531-538	Quantitative trait loci for antixenosis resistance to corn earworm in soybean
Corn earworm 3-1	Cobb	PI227687	Reaction to Helicoverpa zea	Crop Science	1999	39	531-538	Quantitative trait loci for antixenosis resistance to corn earworm in soybean
Corn earworm 3-2	Cobb	PI227687	Reaction to Helicoverpa zea	Crop Science	1999	39	531-538	Quantitative trait loci for antixenosis resistance to corn earworm in soybean
